sector,year,default_rate,count
debt_consolidation,2016,0.24605335427974084,169321.0
debt_consolidation,2017,0.2413419458003703,95056.0
debt_consolidation,2018,0.16158557806083385,28734.0
small_business,2016,0.3337480559875583,3215.0
small_business,2017,0.3752084491384102,1799.0
small_business,2018,0.3181019332161687,569.0
home_improvement,2016,0.19967524714647308,20939.0
home_improvement,2017,0.19896734782924877,13751.0
home_improvement,2018,0.14020344980097302,4522.0
medical,2016,0.2536986301369863,3650.0
medical,2017,0.24751014385835485,2711.0
medical,2018,0.20562560620756548,1031.0
credit_card,2016,0.20466197392064095,60661.0
credit_card,2017,0.20584954765150576,32276.0
credit_card,2018,0.12362902518206545,11397.0
